Converted with https://www.biotools.fr/drosophila/fbgn_converter
Mdh2	FBgn0262559
CG15098	FBgn0034398
Snx1	FBgn0031534
CG6665	FBgn0034172
CG4660	FBgn0029839
eIF4AIII	
Sin1	FBgn0033935
CG34348	FBgn0085377
CG9649	FBgn0038211
v	FBgn0003965
Cyp6a8	FBgn0013772
CG14907	FBgn0038455
Rrp1	FBgn0004584
CG13531	FBgn0034786
CG3703	FBgn0040348
CG9328	FBgn0032886
CG5805	FBgn0039223
CG12163	FBgn0260462
yuri	FBgn0045842
Vdup1	FBgn0035103
RpL32	FBgn0002626
CG33635	FBgn0053635
CG13126	FBgn0032168
Nnp-1	FBgn0022069
CG6509	
CG42321	FBgn0259221
CG11562	FBgn0031247
CG30046	FBgn0050046
RpL31	FBgn0025286
tho2	FBgn0031390
inc	FBgn0025394
dome	FBgn0043903
CG15201	FBgn0030272
Psf2	FBgn0261976
Trpml	FBgn0262516
CG34439	FBgn0085468
Hs6st	FBgn0038755
CG8907	FBgn0038466
Acon	FBgn0010100
CG14997	FBgn0035515
hd	FBgn0086695
cin	FBgn0000316
CG8289	FBgn0030854
CG10984	FBgn0036305
CG7632	FBgn0037071
CG3776	FBgn0035088
RabX4	FBgn0051118
CG6961	FBgn0030959
Obp44a	FBgn0033268
Klp61F	FBgn0004378
CG10209	FBgn0033971
CG9172	FBgn0081578
CG2941	FBgn0029686
CG31381	FBgn0043799
eIF-4E	
mus210	
CG13077	FBgn0032810
Gycalpha99B	FBgn0013972
CG8613	FBgn0033924
CG15772	FBgn0029799
CG4407	FBgn0030431
CG5131	FBgn0032644
CG12822	FBgn0033229
RabX6	FBgn0035155
uri	FBgn0035025
CG32163	FBgn0052163
CG14407	FBgn0030584
parvin	FBgn0052528
twe	FBgn0002673
tefu	FBgn0045035
CG5880	FBgn0039489
Elf	
Mcm6	FBgn0025815
CG10660	FBgn0036288
CG9940	FBgn0030512
CadN	FBgn0015609
CG17121	FBgn0039043
CG7115	FBgn0027515
CG31548	FBgn0051548
ttk	FBgn0003870
mthl1	FBgn0030766
Npc2d	FBgn0037782
Trn	FBgn0024921
pcm	FBgn0020261
MED20	FBgn0013531
AdipoR	FBgn0038984
tadr	FBgn0032911
CG14946	
Invadolysin	FBgn0086359
CG31267	FBgn0051267
CG17680	FBgn0062440
Shroom	FBgn0085408
CG32521	FBgn0052521
CG14777	FBgn0026872
Dlic	FBgn0030276
CG10646	FBgn0036292
blw	FBgn0011211
CG3793	FBgn0028507
CG13841	FBgn0040588
CG4408	FBgn0039073
Df31	FBgn0022893
CG1309	FBgn0035519
Ime4	FBgn0039139
insc	FBgn0011674
CG1636	FBgn0030030
CG16935	FBgn0033883
m-cup	FBgn0038488
CG34232	FBgn0085261
IP3K2	FBgn0283680
CG7183	FBgn0038583
CG15237	FBgn0033104
Rab5	FBgn0014010
FK506-bp2	FBgn0013954
CG31793	FBgn0051793
CG12024	FBgn0035283
adat	
Fit1	FBgn0035498
Adk2	FBgn0283494
ics	FBgn0028546
CG2145	FBgn0030251
CG9609	FBgn0030787
AP-1gamma	FBgn0030089
CG6406	FBgn0034269
Rat1	FBgn0031868
CG5835	FBgn0038682
CG1927	FBgn0027547
CG14476	
CG16903	FBgn0040394
CG13516	FBgn0040658
Pfk	FBgn0003071
CG3009	FBgn0029720
CG12338	FBgn0033543
beta4GalT7	FBgn0039258
Obp99c	FBgn0039682
B4	FBgn0023407
cdm	FBgn0261532
CG10365	FBgn0039109
CG13090	
ZC3H3	FBgn0035900
tyf	FBgn0026083
CG30463	FBgn0050463
CG6693	FBgn0037878
sls	FBgn0086906
eIF4G2	FBgn0260634
CG33502	FBgn0053502
Pp2B-14D	FBgn0011826
pgant4	FBgn0051956
CG4901	FBgn0032194
Vap-33B	
CG12730	FBgn0029771
Cul2	FBgn0032956
Indy	FBgn0036816
Acsl	FBgn0263120
Uch	FBgn0010288
l(3)02640	FBgn0010786
Ugt86Da	FBgn0040259
CoVIIc	FBgn0085963
Pld	FBgn0033075
bnb	FBgn0001090
Ras64B	FBgn0003206
Syt7	FBgn0039900
Atg4a	FBgn0031298
CG2694	FBgn0024991
CG3831	FBgn0034804
CHOp24	FBgn0029709
CG2121	FBgn0033289
Cyp4e1	FBgn0015034
CG42668	FBgn0261550
CG7589	FBgn0036727
Mt2	FBgn0028707
CG10345	FBgn0027562
Cdk12	FBgn0037093
CG7369	FBgn0037188
P58IPK	FBgn0037718
Nurf-38	FBgn0016687
Dyrk2	FBgn0016930
Art1	FBgn0037834
Abi	FBgn0020510
Ugt86Dd	FBgn0040256
CHIP	FBgn0066168
CG5778	FBgn0038930
pelo	FBgn0011207
Myb	FBgn0002914
trbl	FBgn0028978
mthl15	FBgn0051720
Meltrin	FBgn0265140
tth	FBgn0030502
CG10222	FBgn0036356
eIF2B-gamma	
RyR	FBgn0011286
CG5004	FBgn0260748
Zip48C	FBgn0033665
CG11710	FBgn0031115
CG2051	
Dcr-2	FBgn0034246
CG13671	FBgn0035867
CG11456	FBgn0037031
CG15877	FBgn0035337
CG6540	FBgn0030943
RanGAP	FBgn0003346
SppL	FBgn0039381
SmB	FBgn0262601
CG14619	FBgn0068422
CG13088	FBgn0032047
prom	FBgn0259210
Mvl	FBgn0011672
GstE6	FBgn0063494
Socs16D	FBgn0030869
SKIP	FBgn0051163
nbs	FBgn0261530
CG6454	FBgn0039187
CG10333	FBgn0032690
Cpr	FBgn0015623
CG13784	FBgn0031897
Ada	FBgn0037661
BM-40-SPARC	
CG33506	FBgn0053506
tou	FBgn0033636
CG4433	
CG3800	FBgn0034802
nrv2	FBgn0015777
CG5705	
Gmd	FBgn0031661
CG14655	FBgn0037275
p130CAS	FBgn0035101
CG7453	FBgn0030991
CG5190	
Alk	FBgn0040505
CG10731	FBgn0034081
CG11537	FBgn0035400
p38a	FBgn0015765
Def	FBgn0010385
CG31643	FBgn0051643
Acp1	FBgn0014454
CG33275	FBgn0035802
l(2)tid	FBgn0002174
lig	FBgn0020279
CG5541	FBgn0030603
CG1316	FBgn0035526
CG6660	FBgn0039030
S	FBgn0003310
pip	FBgn0003089
caps	FBgn0023095
Gadd34	
Arl4	FBgn0039889
Nhe3	FBgn0028703
Asator	FBgn0039908
CG4783	FBgn0038756
CG6066	FBgn0039488
CG14721	FBgn0037942
CG16711	FBgn0036032
CG11723	FBgn0031391
CG7839	FBgn0036124
l(2)35Be	FBgn0261881
Jra	FBgn0001291
DUBAI	FBgn0033738
Adk3	FBgn0042094
Sema-2a	
CG1998	FBgn0030485
CG31200	FBgn0051200
CG7298	FBgn0036948
CG18764	FBgn0042205
CG18304	FBgn0031869
CG13663	FBgn0039291
CG11586	FBgn0035520
Brca2	FBgn0050169
so	FBgn0003460
MED1	FBgn0037109
W	
cpo	FBgn0263995
gpp	FBgn0264495
Sirt6	FBgn0037802
CG7922	
RpII215	FBgn0003277
CG34408	FBgn0085437
Traf6	FBgn0265464
yellow-f	FBgn0041710
CG11576	FBgn0039882
Zip88E	FBgn0038312
CG42235	FBgn0250757
CG6928	FBgn0036240
CG6523	FBgn0032509
CycH	FBgn0022936
CG33332	FBgn0067629
CG12299	FBgn0032295
Nup214	FBgn0010660
trus	FBgn0038055
EloB	FBgn0023212
kappaTry	FBgn0043471
CG14132	FBgn0040817
Cyp4d20	FBgn0035344
CG34125	FBgn0083961
CG5903	FBgn0038400
CG7928	
CG12877	FBgn0039544
AP-2sigma	FBgn0043012
Coop	FBgn0263240
Taf10b	FBgn0026324
CG32808	FBgn0052808
Taf7	FBgn0024909
Drep-2	
CG32075	FBgn0052075
CG18745	FBgn0042102
Rab23	FBgn0037364
CG7277	FBgn0031713
CG16771	FBgn0032779
swm	FBgn0002044
RpL36A	FBgn0031980
aub	FBgn0000146
Klp64D	FBgn0004380
dbr	FBgn0067779
Obp57c	FBgn0034509
CG1909	FBgn0039911
CG33695	FBgn0052831
CG34331	FBgn0085360
UbcD6	
CG8745	FBgn0036381
CG42495	FBgn0260027
mei-38	FBgn0260986
Trf4-2	FBgn0039251
CG9467	FBgn0037758
NDUFS3	
CG7180	FBgn0267486
Pms2	FBgn0011660
grk	FBgn0001137
Vha14-1	FBgn0262512
lic	FBgn0261524
d4	FBgn0033015
gus	FBgn0026238
CG30002	FBgn0260474
CG4332	FBgn0030456
galectin	FBgn0031213
Uba3	FBgn0263697
CG6878	FBgn0036488
ade5	FBgn0020513
CG1847	FBgn0030345
CG5568	FBgn0035641
Syx6	FBgn0037084
CG31064	FBgn0051064
spag	FBgn0015544
Trx-2	FBgn0040070
VhaM8.9	FBgn0037671
RpS15Ab	FBgn0033555
pie	FBgn0005683
Eip75B	FBgn0000568
Spat	FBgn0014031
CG11160	
form3	FBgn0053556
CG3556	FBgn0029708
Syn1	FBgn0037130
CG7288	
Galphas	FBgn0001123
Not11	FBgn0034963
dgt4	FBgn0026085
CG13921	FBgn0035267
CG16989	FBgn0025621
TfIIA-L	FBgn0011289
lost	FBgn0263594
wac	FBgn0035120
Ero1L	FBgn0261274
CG15861	FBgn0035084
CG5150	FBgn0035620
CG10268	FBgn0032811
CG30008	FBgn0050008
Sirt4	FBgn0029783
CG9947	FBgn0030752
CG5555	FBgn0038686
CG14135	FBgn0036193
CG7326	FBgn0030970
Mio	
CG6812	FBgn0036843
Mitf	FBgn0263112
CG14561	FBgn0037149
RpS3	FBgn0002622
IP3K1	FBgn0032147
Wsck	FBgn0046685
CG16865	FBgn0028919
CG31547	FBgn0051547
CG3045	FBgn0034703
CG7668	FBgn0036929
wisp	FBgn0260780
Tig	FBgn0011722
spartin	FBgn0037265
CG3706	FBgn0040342
CG7686	
osp	FBgn0003016
CG32221	FBgn0052221
CkIIalpha	FBgn0264492
CG1407	FBgn0033474
AQP	FBgn0033807
CHES-1-like	FBgn0029504
CG14641	FBgn0037220
Lap1	FBgn0033984
Hayan	FBgn0030925
CG11395	
CG9140	FBgn0081557
Arp8	FBgn0030877
CG42359	FBgn0259705
Cpn	FBgn0261714
SNF4Agamma	FBgn0264357
CG14823	FBgn0035734
Cdc5	FBgn0265574
Pk92B	FBgn0064616
spel1	FBgn0015546
CG2269	FBgn0033484
Mlh1	FBgn0011659
CG10340	FBgn0022344
Plip	
Mgstl	FBgn0025814
per	FBgn0003068
FLASH	FBgn0033806
CG11306	FBgn0037108
CG4733	FBgn0038744
CG3921	
CG30022	FBgn0050022
Rpn9	FBgn0028691
CG13850	FBgn0038961
CG31145	FBgn0051145
CG18476	FBgn0037931
CG17660	FBgn0031356
Ca-alpha1D	FBgn0001991
Asph	FBgn0034075
CG6272	FBgn0036126
Rpt2	FBgn0015282
CG10435	FBgn0037539
CG5026	FBgn0035945
CG6903	FBgn0029737
CG12909	FBgn0033507
fal	FBgn0028380
CG7630	FBgn0040793
CG6126	FBgn0038407
wmd	FBgn0034876
CG3511	FBgn0035027
CG42376	FBgn0259722
dgt5	FBgn0033740
FBX011	
norpA	FBgn0262738
mRpL9	FBgn0038319
Pp2C1	FBgn0022768
CG31323	FBgn0051323
ClC-c	FBgn0036566
CG5254	FBgn0040383
Sec61gamma	FBgn0031049
Sur-8	FBgn0038504
Orct2	FBgn0086365
Gmer	FBgn0267823
GstE9	FBgn0063491
Xpac	FBgn0004832
Met	FBgn0002723
CG8414	FBgn0034073
ZnT63C	FBgn0035432
Mmp2	FBgn0033438
exd	FBgn0000611
fs(1)Ya	FBgn0000927
mei-S332	FBgn0002715
PAN2	FBgn0033352
Asap	FBgn0050372
mav	FBgn0039914
Rint1	FBgn0035762
lea	
RhoGEF64C	FBgn0035574
rpk	FBgn0022981
Fpps	FBgn0025373
CG7185	FBgn0035872
spn-B	FBgn0003480
CG10433	FBgn0034638
Top3alpha	FBgn0040268
GM130	FBgn0034697
Tsp42Eq	FBgn0033138
CG15561	FBgn0039829
PDCD-5	FBgn0036580
spen	FBgn0016977
CG32280	FBgn0052280
wdp	FBgn0034718
CG8562	FBgn0035779
CG17600	FBgn0031195
Myo10A	FBgn0263705
Cen	FBgn0032876
CG1635	FBgn0039854
Golgin245	FBgn0034854
Tapdelta	FBgn0021795
zip	FBgn0265434
Smn	FBgn0036641
Vps29	FBgn0031310
CG4577	FBgn0031306
gukh	FBgn0026239
CG32191	FBgn0052191
Hmt4-20	FBgn0025639
RhoGAP15B	FBgn0030808
yps	FBgn0022959
trio	FBgn0024277
thoc7	FBgn0035110
CG11858	FBgn0039305
CG30493	FBgn0050493
zuc	FBgn0261266
spz	FBgn0003495
CG7542	FBgn0036738
CG4455	FBgn0028506
Ugt	FBgn0014075
CG2608	FBgn0032870
CG3353	
Cdc6	FBgn0035918
htt	FBgn0027655
CG15067	FBgn0034331
Papss	FBgn0020389
Sec31	FBgn0033339
CG9723	FBgn0030768
alphaTub84D	FBgn0003885
bbg	FBgn0087007
CG32479	FBgn0052479
CG42797	FBgn0261931
CG14516	FBgn0039640
CG10512	FBgn0037057
COQ7	FBgn0029502
CG9203	FBgn0267977
CG3618	FBgn0037028
dec-1	FBgn0000427
Hexo1	FBgn0041630
CG13865	FBgn0039965
CG12107	FBgn0033209
Prp19	FBgn0261119
Spindly	FBgn0031549
CG10026	FBgn0032785
boss	FBgn0000206
CG5167	FBgn0038038
CG8326	FBgn0030851
GalNAc-T2	FBgn0030930
CG34117	FBgn0083953
hdc	FBgn0010113
SPoCk	FBgn0052451
mahj	FBgn0034641
baz	FBgn0000163
Gug	FBgn0010825
Cyp12b2	FBgn0034387
CG7414	FBgn0037135
CG8034	FBgn0031011
GlcAT-I	FBgn0066114
Mmp1	FBgn0035049
cpb	FBgn0011570
Sap130	FBgn0262714
scaf6	FBgn0261872
mRpL22	FBgn0030786
shn	FBgn0003396
CG9135	FBgn0031769
CG3191	FBgn0023525
CG10050	FBgn0037492
CG14995	FBgn0035497
l(1)G0230	
Cdk7	FBgn0263237
GCC185	FBgn0037979
PGAP5	FBgn0031997
SmD3	FBgn0023167
Scox	FBgn0262467
l(3)j2D3	
Cpr100A	FBgn0039805
PTP-ER	FBgn0016641
CG8389	FBgn0034063
up	FBgn0004169
muskelin	FBgn0033757
Ptp61F	FBgn0267487
CG7546	FBgn0035793
trp	FBgn0003861
CG8370	FBgn0034060
CG3295	FBgn0034573
Nckx30C	FBgn0028704
CG8206	FBgn0030679
how	FBgn0264491
gammaTub37C	FBgn0010097
mRpL49	FBgn0030433
CG9330	FBgn0036888
Vml	FBgn0085362
CG9360	FBgn0030332
Tsp2A	FBgn0024361
CG5177	FBgn0031908
CG7739	FBgn0036509
Shal	FBgn0005564
CG33127	FBgn0053127
Shaw	FBgn0003386
GstT3	FBgn0031117
CG6613	FBgn0034694
ninaE	FBgn0002940
LKR	
mex1	FBgn0004228
CG43736	FBgn0263993
CG1890	FBgn0039869
S2P	FBgn0033656
CG8791	FBgn0033234
RhoGAP92B	FBgn0038747
Pka-R1	FBgn0259243
CG7770	FBgn0036918
CG34166	FBgn0085195
RasGAP1	FBgn0004390
CG7470	FBgn0037146
Vps35	FBgn0034708
CG9572	FBgn0031089
Aps	FBgn0036111
AGO1	FBgn0262739
mRpS21	FBgn0044511
Dab	FBgn0000414
CG32284	FBgn0052284
CG31974	FBgn0051974
Ag5r	FBgn0015010
P5CDh1	FBgn0037138
lok	FBgn0019686
CG1603	FBgn0033185
CG5969	FBgn0036998
Mur2B	FBgn0025390
CG9629	FBgn0036857
del	FBgn0086251
cnn	FBgn0013765
CG7011	FBgn0036489
Prx2540-1	FBgn0033520
CG15435	FBgn0031608
p	FBgn0086679
NitFhit	FBgn0024945
CG8671	FBgn0032938
Fmo-1	FBgn0034943
Tps1	FBgn0027560
CG15674	FBgn0034642
Gem3	FBgn0011802
CG3631	FBgn0038268
CG32939	FBgn0052939
CG7289	FBgn0031379
CG9784	FBgn0030761
CG11073	FBgn0034693
cav	FBgn0026257
CG9300	FBgn0036886
psh	FBgn0030926
Tmhs	FBgn0262624
CG2126	FBgn0039876
CG6674	FBgn0036063
CG7083	FBgn0035877
CG11267	FBgn0036334
mre11	FBgn0020270
CG8878	FBgn0027504
CG15202	FBgn0030271
CG11035	FBgn0037544
CG31441	FBgn0051441
Fadd	FBgn0038928
Phm	FBgn0283509
rumi	FBgn0086253
CG15784	FBgn0029766
Hsc70-1	FBgn0001216
Tctp	FBgn0037874
CG18809	FBgn0042132
Rpb11	FBgn0032634
Sbp2	FBgn0087039
GAA1	FBgn0029818
vir	FBgn0003977
ATPsyn-Cf6	
IntS3	FBgn0262117
Mapmodulin	FBgn0034282
ncm	FBgn0086707
Saf6	FBgn0031281
CG10170	FBgn0039085
CG2604	FBgn0037298
CG5262	FBgn0036988
bou	FBgn0261284
CG6398	FBgn0030870
E2f	
Nup62	FBgn0034118
Atac2	FBgn0032691
brn	FBgn0000221
CG5439	FBgn0032476
CG1550	FBgn0033225
RhoGAP68F	FBgn0036257
Nat1	
Rab1	FBgn0016700
CG18012	FBgn0038552
CG34120	FBgn0083956
Nup75	FBgn0034310
VhaPPA1-1	FBgn0028662
Pvr	FBgn0032006
Nhe2	FBgn0040297
cold	FBgn0031268
CG3106	FBgn0030148
CG10337	FBgn0032805
Rca1	FBgn0017551
insv	FBgn0031434
CG11170	FBgn0034705
CG8920	
Clc	FBgn0024814
CG14131	FBgn0036205
mew	FBgn0004456
Neb-cGP	FBgn0083167
CG8176	FBgn0037702
Tsp42Eg	FBgn0033128
CG4186	FBgn0040634
CG42521	FBgn0260396
VhaM9.7-a	FBgn0035521
CG4041	FBgn0029736
sni	FBgn0030026
lack	
slv	FBgn0025469
CG10802	FBgn0029664
CG14495	FBgn0034293
CG2186	FBgn0030243
Seipin	FBgn0040336
CG9449	FBgn0036875
Chi	FBgn0013764
Cyp6a9	FBgn0013771
Dok	FBgn0029944
CG31638	FBgn0051638
CG9527	FBgn0031813
CG6325	FBgn0037814
Or43b	FBgn0026393
Ark	
Irk3	FBgn0032706
CG5316	FBgn0038704
Pabp2	FBgn0005648
lwr	FBgn0010602
CG2811	FBgn0035082
CG10465	FBgn0033017
raps	
vls	FBgn0003978
CG11596	FBgn0023522
DNApol-epsilon	
CG1358	FBgn0033196
CG2865	FBgn0023526
CG11426	FBgn0037166
Rad23	FBgn0026777
CG1902	FBgn0033434
CG17271	FBgn0038829
Lsm11	FBgn0033450
sta	FBgn0003517
clt	FBgn0000326
CG15747	FBgn0030474
ND42	
CG9044	FBgn0031752
Ggt-1	FBgn0030932
CG13360	FBgn0025620
CG3857	FBgn0023520
mxc	FBgn0260789
CG7044	FBgn0038854
CG11158	FBgn0030511
mbc	FBgn0015513
Ptp52F	FBgn0034085
Apoltp	FBgn0032136
Orc2	FBgn0015270
Cpsf73	FBgn0261065
lap	FBgn0086372
CG4091	
grau	FBgn0001133
twr	FBgn0262801
CanA1	FBgn0010015
RpS25	FBgn0086472
CG8841	FBgn0033713
CG18446	FBgn0033458
CG30460	FBgn0050460
CG1104	
CG5808	FBgn0027617
CG3434	FBgn0036000
CG34194	FBgn0085223
CG5955	FBgn0036997
CG16972	FBgn0032481
CG31712	FBgn0051712
Tg	FBgn0031975
barc	FBgn0037081
Cyp6d5	FBgn0038194
CG14440	FBgn0029894
stau	FBgn0003520
Idgf4	FBgn0026415
Trxr-1	FBgn0020653
CoVIb	FBgn0085957
CG30020	FBgn0050020
Hip1	FBgn0036309
Eb1	FBgn0027066
metl	FBgn0035247
CG11825	FBgn0033519
CG9890	FBgn0034814
mRpS10	FBgn0038307
CG6231	FBgn0038720
CG6951	FBgn0036959
EndoG	FBgn0033690
mRpS30	FBgn0030692
CG9512	FBgn0030593
CG14480	FBgn0034242
ref(2)P	FBgn0003231
CG3164	FBgn0025683
Ubi-p63E	FBgn0003943
CG10428	FBgn0032724
Vm32E	FBgn0014076
Pex6	FBgn0033564
Hrb98DE	FBgn0001215
CG18858	FBgn0042175
mon2	FBgn0031985
CG2201	FBgn0032955
mRpL30	FBgn0029718
Tim9a	FBgn0030480
dup	FBgn0000996
CG10874	FBgn0031395
CG14879	FBgn0038419
CG4612	FBgn0035016
Sec13	FBgn0024509
Spn42Da	FBgn0265137
CG4038	FBgn0011824
dmGlut	FBgn0010497
Lrrk	FBgn0038816
CG5261	FBgn0283658
Zw10	FBgn0004643
Ork1	FBgn0017561
CG14778	FBgn0029580
CG3505	FBgn0038250
Pkcdelta	FBgn0259680
CG12236	FBgn0029822
CG14966	FBgn0035415
SelG	FBgn0030350
CG30392	FBgn0050392
MESR6	FBgn0036846
Sema-5c	
Chd3	FBgn0023395
Slh	FBgn0264978
mim	FBgn0053558
CG3838	FBgn0032130
CG1418	FBgn0033468
CG10274	FBgn0035690
CG15706	FBgn0034093
CG10399	FBgn0031877
Mf	FBgn0038294
CG17652	FBgn0031361
CG32104	FBgn0052104
rush	FBgn0025381
Cdk5	FBgn0013762
mRpS6	FBgn0035534
Arpc5	FBgn0031437
CG11007	FBgn0034455
Rpb10	FBgn0039218
Surf4	FBgn0019925
Cnb	FBgn0035295
CG10565	FBgn0037051
CG10208	FBgn0039118
Syx18	FBgn0039212
Kaz1-ORFB	FBgn0063923
tay	FBgn0260938
CG4404	FBgn0030432
asf1	FBgn0029094
WDR79	FBgn0031782
CG7974	FBgn0035254
Cpsf160	FBgn0024698
CG7593	FBgn0039687
Dap160	FBgn0023388
Pdsw	
CG14646	FBgn0037241
CG6689	FBgn0037877
Pxn	FBgn0011828
Jwa	FBgn0032704
pad	FBgn0038418
CG11448	FBgn0024985
MED17	FBgn0038578
srpk79D	
hyd	FBgn0002431
AP-1sigma	FBgn0039132
Cdk8	FBgn0015618
Hrd3	FBgn0028475
Pka-C1	FBgn0000273
CG5888	FBgn0028523
Pgd	FBgn0004654
CG11455	FBgn0068483
Nc73EF	FBgn0010352
Drep-1	
Efa6	FBgn0051158
Naa60	FBgn0036039
CG5869	FBgn0028894
Cht6	FBgn0263132
CG7172	FBgn0037102
Rbf2	FBgn0038390
Ac13E	FBgn0022710
CG1907	FBgn0039674
CG6907	FBgn0031711
swa	FBgn0003655
mad2	FBgn0035640
CG16713	FBgn0031560
Ars2	FBgn0033062
isoQC	FBgn0036999
CG5597	FBgn0034920
CycE	FBgn0010382
CG16753	FBgn0035393
CG11752	FBgn0030292
dsx	FBgn0000504
CG8773	FBgn0038135
aux	FBgn0037218
chb	FBgn0021760
CG2519	FBgn0037336
CG13741	FBgn0033374
CG9752	FBgn0034614
MCPH1	FBgn0260959
CG17360	FBgn0037949
Pdcd4	FBgn0030520
CG15093	FBgn0034390
rb	FBgn0003210
Mcm10	FBgn0032929
CG17278	FBgn0046763
HP5	FBgn0030301
CG6695	FBgn0039215
SdhB	FBgn0014028
U3-55K	FBgn0053505
CG3797	FBgn0036842
CG7381	FBgn0038098
aralar1	FBgn0028646
CG42258	FBgn0259143
CG4364	FBgn0032138
sol	FBgn0003464
RpL37a	FBgn0030616
Ndfip	FBgn0052177
CG11447	FBgn0038737
Prp3	FBgn0036915
CG10555	FBgn0030034
His3.3A	FBgn0014857
CG11044	FBgn0034484
disp	FBgn0029088
Cwc25	FBgn0031452
CG6465	FBgn0037818
dream	
alpha-Man-IIb	FBgn0026616
OstDelta	FBgn0034277
Pop2	FBgn0036239
PCID2	FBgn0036184
Dmtn	FBgn0037443
RpS19a	FBgn0010412
CG9272	FBgn0032907
Marcal1	FBgn0031655
CG9086	
CG14435	FBgn0029911
Hsc70Cb	FBgn0026418
CG10417	FBgn0033021
gw	FBgn0051992
CG32407	FBgn0052407
sno	FBgn0265630
Mat1	FBgn0024956
l(3)87Df	FBgn0002354
Pbgs	FBgn0036271
Hel89B	FBgn0022787
CG9850	FBgn0034903
CG6839	FBgn0036831
TpnC4	FBgn0033027
CG3091	FBgn0029608
CG33111	FBgn0053111
bgm	FBgn0027348
Yippee	FBgn0026749
CG2906	FBgn0033240
dom	FBgn0020306
UGP	FBgn0035978
Su(var)205	FBgn0003607
EndoB	FBgn0034433
L	
Ipk2	FBgn0031267
CG9114	FBgn0030628
rdgC	FBgn0265959
InR	FBgn0283499
CG3107	FBgn0033005
CG4313	FBgn0025632
CG12259	FBgn0039557
elm	FBgn0037358
mtacp1	FBgn0067944
CG7324	FBgn0037074
decay	
G9a	FBgn0040372
CG3267	FBgn0042083
Pvf1	FBgn0030964
CG6329	FBgn0033872
CG12290	FBgn0039419
CG11360	FBgn0039920
Snap24	FBgn0266720
PyK	FBgn0267385
par-6	FBgn0026192
CG34136	FBgn0083972
bdg	FBgn0034049
Upf2	FBgn0029992
Rpn10	FBgn0015283
Plod	FBgn0036147
Rh6	FBgn0019940
CG11412	FBgn0024362
vito	FBgn0052418
CG8833	FBgn0036386
CG14074	FBgn0036818
Pex10	FBgn0035233
Ddc	FBgn0000422
CG6654	FBgn0038301
mRpL24	FBgn0031651
CG7382	FBgn0031708
Rpt5	FBgn0028684
Tsp42Ef	FBgn0033127
Prosalpha7	FBgn0023175
CG16742	
colt	FBgn0019830
eIF-5A	
CG15065	FBgn0040734
Nep1	FBgn0029843
Ptp4E	FBgn0004368
Pten	FBgn0026379
CG8738	FBgn0033321
CG42553	FBgn0260755
CG43427	FBgn0263346
CG3702	FBgn0031590
Fancd2	FBgn0038827
pyr	FBgn0033649
CG6724	FBgn0032298
CG31715	FBgn0051715
Vps37B	FBgn0037299
fz2	FBgn0016797
CG15387	FBgn0031403
Snx6	FBgn0032005
CG6945	
CG15279	FBgn0028886
CG1516	FBgn0027580
CG5027	FBgn0036579
mRpL45	FBgn0263863
NT5E-2	FBgn0050104
skap	FBgn0037643
mri	FBgn0035107
CG4896	FBgn0031319
Ef1gamma	FBgn0068163
CG34449	FBgn0085478
Odc1	FBgn0013307
CG2698	FBgn0037536
CG8064	FBgn0038597
mia	FBgn0014342
CG7407	FBgn0037134
Sec5	FBgn0266670
mei-9	FBgn0002707
cv-c	FBgn0086901
CG11200	FBgn0034500
mute	FBgn0085444
ATPsyn-d	
LanA	FBgn0002526
Rab14	FBgn0015791
CG17027	FBgn0036553
CG43078	FBgn0262508
jvl	FBgn0263929
CG30108	FBgn0050108
CG5703	FBgn0030853
CG5537	FBgn0035639
CG9548	FBgn0031822
Dhpr	FBgn0035964
rdgBbeta	FBgn0027872
Art4	FBgn0037770
mRpL41	FBgn0034001
Dp	FBgn0011763
CG41099	FBgn0039955
mRpL21	FBgn0036853
Atg7	FBgn0034366
Etl1	FBgn0032157
CG42554	FBgn0260756
Orc1	FBgn0022772
Pol32	FBgn0283467
Hus1-like	FBgn0026417
Gfat2	FBgn0039580
Med	FBgn0011655
TM9SF4	FBgn0028541
CG2846	FBgn0014930
Cdc16	FBgn0025781
Det	FBgn0264291
NAAT1	FBgn0029762
CG9346	FBgn0034572
CG33228	FBgn0261373
Es2	FBgn0023506
NLaz	FBgn0053126
capu	FBgn0000256
amon	FBgn0023179
CG16833	FBgn0026147
Ect4	FBgn0262579
RagA-B	FBgn0037647
yip2	FBgn0040064
poly	FBgn0086371
CG7993	
mRpL28	FBgn0031660
CG5946	FBgn0036211
CG3281	FBgn0260741
CG12975	FBgn0037061
Spec2	FBgn0044823
CG13390	FBgn0032031
CG4502	FBgn0031896
CG4813	FBgn0039013
CG31922	FBgn0051922
E(spl)mbeta-HLH	FBgn0002733
p120ctn	FBgn0260799
CG11398	FBgn0040366
drd	FBgn0260006
Scm	FBgn0003334
CG7457	FBgn0035812
Prosbeta2	FBgn0023174
fusl	FBgn0031702
CG34417	FBgn0085446
CG15043	FBgn0030929
Trs23	FBgn0260861
CG4335	FBgn0038795
GEFmeso	FBgn0050115
CG3165	FBgn0031484
RpII33	FBgn0026373
cactin	FBgn0031114
wts	FBgn0011739
Dpy-30L1	FBgn0032293
CtsB1	FBgn0030521
Mtr3	FBgn0036916
RecQ4	FBgn0040290
nes	FBgn0026630
osk	FBgn0003015
Atg3	FBgn0036813
CG1246	FBgn0035360
